Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0020222,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,"normale",majeur,n'a pas essayé,affecté,ouvert,Anomalie,2021-01-12,2021-01-27,public,Envoi email invité,"Bonjour, 

nous constatons une problématique dans un évènements lors du clic sur le bouton "Envoi email invités" l'action n'est pas réalisé et la page ne répond pas. De ce fait le mail aux invités ne part pas .
Merci de débloquer la situation.",
0020232,C2S - RESEAU ENTREPRENDRE,APelissier,normale,mineur,n'a pas essayé,résolu,résolu,Anomalie,2021-01-13,2021-01-26,public,Erreur sur prospect,"Bonjour, 

à l'ouverture d'un prospect nous rencontrons un message d'erreur et ce quel que soit le prospect.

Merci de corriger le problème. EN PJ le journal d'erreur. 

Web resource method does not exist: addCountryFrance
ID de session : 6329907d-4c92-4093-ae0d-f0abf12f6b57
ID de corrélation : 463c5159-4d64-431b-afa0-3e413f42c385
Nom de l’événement : onload
Nom de ressource Web : ser_Adresse.js
Nom de la solution : Active
Nom de l’éditeur : DefaultPublisherreseauentreprendrefede
Heure : Wed Jan 13 2021 15:03:26 GMT+0100 (heure normale d’Europe centrale)",0.5
0020236,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,résolu,résolu,Anomalie,2021-01-14,2021-01-26,public,Workflow renouvellement d'adhésion en masse,"Bonjour, 

les utilisateurs rencontrent un message d'erreur lors de l'utilisation du workflow de renouvellement d'adhésion en masse. 

Voici la manipulation : Suvi des adhésions > sélection de plusieurs adhésions > bouton Flux > Renouvellement manuel d'adhésion.

Voici le message d'erreur : 

Principal with id 95e2b028-f600-e811-812d-e0071b652f11 does not have WriteAccess right(s) for record with id e25ebf89-1f6b-e911-a84c-000d3ab2d1b7 of entity account. Details: {""CallerPrincipal"":{""PrincipalId"":""95e2b028-f600-e811-812d-e0071b652f11"",""Type"":8,""IsUserPrincipal"":true},""OwnerPrincipal"":{""PrincipalId"":""e08c52c7-6612-e911-814e-5065f38a79c1"",""Type"":8,""IsUserPrincipal"":true},""ObjectId"":""e25ebf89-1f6b-e911-a84c-000d3ab2d1b7"",""ObjectTypeCode"":1,""EntityName"":""account"",""ObjectBusinessUnitId"":""55bc6861-c0c3-e711-811f-5065f38adb11"",""RightsToCheck"":""WriteAccess"",""RoleAccessRights"":""None"",""PoaAccessRights"":""None"",""HsmAccessRights"":""None"",""GrantedAccessRights"":""None"",""Messages"":[""PrincipalHasOwnerPrincipalWithAtLeastBasicPrivilegeDepth = False"",""EntityUserGroupRights = None"",""MinimumPrivilegeDepthRequired = Global"",""SecLib::AccessCheckEx2 failed. Owner Data: roleCount=2, privilegeCount=732, accessMode=0; Principal Data: roleCount=2, privilegeCount=732, accessMode=0""],""EntityOwnershipTypeMask"":1,""CallerInfo"":{""IsSystemUser"":false,""IsSupportUser"":false,""IsAdministrator"":false,""IsCustomizer"":false,""IsDisabled"":false,""IsIntegrationUser"":false,""Teams"":null,""Roles"":null},""ReadOnlyState"":""UserAndOrgFullAccess"",""IsHsmEnabled"":false,""HsmInfo"":null}
Code d'erreur : 0x80040265ID de session : a1f13e7b-8b1b-4e10-bf98-3b484bd473bdID d'activité : 428b17c3-0023-4ea6-b4a6-fa10a6e925b3Heure : Thu Jan 14 2021 11:19:08 GMT+0100 (heure normale d’Europe centrale)
",0.5
0020271,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,bloquant,toujours,résolu,résolu,Anomalie,2021-01-25,2021-01-26,public,Renouvellement d'adhésion,"Bonjour, 

lorsque l'on utilise le Workflow de renouvellement d'adhésion en masse celui-ci ne modifie plus la date.

Reproduction du cas : Suivi des adhésions > sélection d'un ou plusieurs d'adhésion > utilisation du workflow > résultat KO.

Ce dysfonctionnement impact toutes les associations qui sont en période de renouvellement d'adhésion.

Merci.",0.5
0020251,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2021-01-19,2021-01-20,public,Lien code naf secteur activité pour l'entreprise,"En lien avec le ticket 20152 dans la partir ""Projet"".

Une évolution à réaliser pour développer un plugin pour Code NAF/Secteur d’activité, lorsque l'on sélectionne un code NAF le secteur d'activité se complète automatiquement dans la partie ""Entreprise"" identique à la partir Projet.

",
0020156,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,résolu,résolu,Anomalie,2020-12-18,2021-01-20,public,Liste de comm dynamique,"Bonjour, 

nous avons un message d'erreur dans les listes de comm dynamique ( pas les listes statiques). 
Le message: 
La vue n'est pas disponible. Contactez votre administrateur système.

Pouvez vous corriger le problème qui est bloquant pour les associations.",3.5
0020247,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,résolu,résolu,Anomalie,2021-01-19,2021-01-20,public,Evenement lien participation,"Bonjour, 

une anomalie concernant le lien de participation dans les mails envoyé, lors du clic sur l'un des boutons de participations une page d'erreur s'ouvre cf capture.

Merci de corriger.",0.5
0020141,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-12-15,2021-01-18,public,Passerelle,"Bonjour , 

merci de prévoir la mise en place des passerelles pour les associations suivantes :

RE 93, Re Essonne, Re Nord.
Nous vous confirmerons la date de déploiement sous peu.

A votre disposition.",2.5
0020237,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,toujours,affecté,ouvert,Anomalie,2021-01-14,2021-01-14,public,désactivation de pret,"Voici les problématiques lors d'une désactivation de pret : 

- les échéances restent "" A comptabiliser"" et remontent dans la comptabilité.
- Désactivation impossible depuis l'onglet ""Détails remboursement / Action de modulation""
- Le contournement consistant à désactiver le prêt depuis l'onglet ""Général"" ne fonctionne pas à tous les coups.
- La désactivation provoque des crashs 
- ticket 19973 en lien.
 
",
