Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0020156,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,affecté,réouvert,Anomalie,2020-12-18,2021-01-04,public,Liste de comm dynamique,"Bonjour, 

nous avons un message d'erreur dans les listes de comm dynamique ( pas les listes statiques). 
Le message: 
La vue n'est pas disponible. Contactez votre administrateur système.

Pouvez vous corriger le problème qui est bloquant pour les associations.",1.5
0020177,C2S - RESEAU ENTREPRENDRE,ECadressen,APelissier,élevée,bloquant,toujours,résolu,résolu,Evolution,2020-12-28,2020-12-29,public,Fiche Personne - enlever les conditions obligatoires pour plusieurs Champs,"J’aurais besoin d’une évolution sur la fiche personne pour enlever les conditions obligatoires pour les champs suivants s’il vous plaît.

•	Rue 1
•	Code postal 
•	Ville

Les changements à réaliser
•	Enlever le caractère obligatoire pour les 3 champs
•	Regrouper les champs Code postal et Ville
•	Rendre la saisie du code postal dynamique et le lier à la ville

Pouvez vous me communiquer votre estimation, impact et temps nécessaire pour réaliser les changements ?
",0.5
0020148,C2S - RESEAU ENTREPRENDRE,ADiemer,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-12-17,2020-12-22,public,"modification modèle word ""Reco. dette- 1er versement""","Bonjour,

Pouvez-vous ajouter dans le modèle Word ""Reco. dette- 1er versement"" juste après le 2. dans la liste à puces :

3. Remettre sous un mois à l’association la preuve du dépôt de la somme reçue en capital ou en compte courant d’associé bloqué de mon entreprise.

Ce modèle Word se génère depuis Versement dans le CRM, au niveau de la tranche 1.
Le reste du document est ok.

Merci d'avance pour votre aide,
A dispo,

Audrey",1.25
0020151,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-12-18,2020-12-22,public,Création de prospect,"Bonjour, 

lors de la création d'un prospect, un message d'erreur apparait : 

L'un des scripts de cet enregistrement a généré une erreur. Pour plus de détails, téléchargez le fichier journal.

je vous joint le journal d'erreur en PJ.",0.25
0020136,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-12-14,2020-12-22,public,Tri automatique,"Bonjour, 

lors de l'affichage des échéances d'un pret, celles-ci s'affichent dans le désordre. Lors du clique sur les différents filtres afin de les classer par ordre d'échéance, le tri est incorrect.

Peut on remettre à l'état initial la fonction tri ? ",0.25
0019858,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,urgente,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-10-13,2020-12-22,public,MdV-LCBFT,"Suite du ticket 19824 afin de séparer les problématique au vue du nombre de cas.

Projet Loubière
Cas identique ce jour sur le projet Neuronys
cas identique projet « Numlog » avec Aymeric Guinard comme porteur",4.5
0019660,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Evolution,2020-09-10,2020-12-22,public,indicatifs téléphoniques internationaux non disponible,"Bonjour,

Une collaboratrice souhaite renseigner le numéro : +44 7917 097771 dans la fiche d'une personne. Mais a chaque saisie, le +44 est remplacé par +33. Pouvez-vous corriger cela ?

Merci par avance

Bien cordialement,

LEMOINE François",4.5
0019965,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-11-06,2020-12-22,public,Mdv -Flux,"Bonjour, 

nous avons constaté que la flèche ""Flux"" n'est plus disponible pour certains profils.
Ex : Rodolphe Pasquier Desvignes n'a pas la fléche de flux. De mon coté je l'ai.
Pourquoi cette différence ? L'accès au flux est essentiel pour l'activité.
",1
0020169,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,urgente,critique,n'a pas essayé,résolu,résolu,Anomalie,2020-12-21,2020-12-21,public,Erreur de script Ville,"Bonjour, 

nous avons des problématiques avec le choix d'une ville, dans plusieurs formulaire. 

Par exemple dans un nouveau projet lorsque nous renseignons la ville, un message apparait avec une erreur de script ( idem dans le choix de la ville pour les coordonnées bancaires).

C'est bloquant pour les utilisateurs et cela doit faire suite au livrable BPI. Pouvez vous régler le problème ? Merci.

L'un des scripts de cet enregistrement a généré une erreur. Pour plus de détails, téléchargez le fichier journal.
Web resource method does not exist: SetAddresseFromCity
ID de session : 7e088434-0165-4d05-9c97-f598f7c3cb61
ID de corrélation : b9fcc3ab-aab8-4c7b-874e-035b340a87f1
Nom de l’événement : onchange
Nom de ressource Web : ser_Adresse.js
Nom de la solution : Active
Nom de l’éditeur : DefaultPublisherreseauentreprendrefede
Heure : Mon Dec 21 2020 14:25:14 GMT+0100 (heure normale d’Europe centrale)",0.5
0020142,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-12-15,2020-12-21,public,Code Journal de fonctionnement principal,"Bonjour, 

Dans les données la division RE Rhone, il y a le journal de fonctionnement principal: CE COT 

Lors de la remontée des informations dans la passerelle vers SAGE, seuls les 3 premiers caractères sont repris, donc ici le résultat est CE .Est il possible de ramasser l'ensemble des caractères du champs : 
 -Journal fonctionnement principal
 -Journal fonds de PH principal

A votre disposition pour échanger sur le sujet si l'expression de la problématique n'est pas claire.",
