Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0019142,C2S - RESEAU ENTREPRENDRE ,New Changement,nouveau test ,normal ,mineur ,n'a pas essayé,commentaire,ouvert,Evolution,2020-05-14,2020-10-31,public,Nouveau Profil SIGMA,"Couuuuucouuuuuu Dominique Da Silva souhaite que Madame Federica SECHI puisse accéder à tout Réseau Entreprendre Italia, soit les 3 divisions suivantes : RE PIEMONTE / RE LOMBARDI / RE EMILIA.

Est-ce qu'il est possible de lui octroyer l'accès à ces 3 divisions ?

Merci d'avance pour votre retour,",12
0019417,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-07-24,2020-08-31,public,Ajout d'un prospect dans une liste de communication,"Bonjour,

Karine Farnault qui utilise le compte ""loirevallee@reseau-entreprendre.org"" ne parvient pas à ajouter de prospect dans une liste de communication.
Lorsqu'elle est sur la fiche prospect et tente l'ajout, elle ne voit pas ses listes de comm.

Dans l'autre sens, depuis la liste de communication, elle ne peut pas ajouter de prospect.
Il s'agit de la liste : PROSPECTS RELV.",0
0018949,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,urgente,critique,aléatoire,accepté,résolu,Support,2020-03-23,2020-08-31,public,Tri des échéances sur les modèles word,"Bonjour, 

Lors de l'export des échéanciers sur SIGMA, les échéances sur le document word sont très souvent dans le mauvais ordre. Il doit y avoir un problème dans le paramétrage du modèle word. 
Je pense qu'il faudrait voir s'il est possible de préconfigurer le tri des données dans le tableau par n° puis par date prévue mais de mon côté je ne sais pas comment modifier le modèle word et l'intégrer. 
Vous trouverez en PJ le modèle word de base intégré à SIGMA avec les champs qui doivent être dynamiques. ",8
0018944,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-03-20,2020-08-31,public,adhésions (0001212),"Demande utilisateurs validée en club : donner la possibilité de lier plusieurs personnes à une adhésion (les associés d’une entreprise qui cotise par ex Michel et Augustin.). Aujourd’hui, l’utilisateur doit saisir l’associé avec une cotisation à 0€ pour lui accorder le statut membre sympathisant.",3.25
0019494,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,majeur,toujours,commentaire,ouvert,Support,2020-08-04,2020-09-31,public,TEST NOUVEAU Résumé,"Bonjour , 

suite à plusieurs tentatives de modification d'échéancier pour le prêt MISTRETTA romain projet HUMANS, nous souhaitons ajouter deux lignes de plus au 66 échéances actuelles cependant la modification est refusée.
Cf erreur sur la capture d'écran, les deux seules erreurs sont l'ajout de deux lignes supplémentaires. 

Ce n'est pas le seul cas, nous avons plusieurs dossiers dans la meme situation. ",2
0019431,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,quelques fois,commentaire,ouvert,Support,2020-07-29,2020-08-31,public,Plus de mise à jour dynamique des échéances aux dates choisies,"Bonjour,
Mme Marine PASCAL du RE Loire nous a remonté des problèmes de mises à jour automatiques des échéances sur certains prêts comme : 
- prêt GENTY Emmanuel : pas de mise à jour auto des 2 dernières échéances
- prêt GAILLARD David : mauvaise date renseignée automatiquement pour le mois de Juillet (le27 au lieu du 20 qui est la date théorique)

Je vous joins des captures d'écran des prêts cités.

Merci par avance pour votre action.",0.75
0019256,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,urgente,majeur,toujours,accepté,résolu,Support,2020-06-17,2020-08-31,public,Problème avec les invitations événements,"Bonjour,

  Plusieurs personnes nous ont remonté que lors de l'envoi d'invitation par le biais d'un événement dans SIGMA,que le fichier .ics qui génère une planification agenda n'était pas à l'heure correspondant à l'événement.

Par exemple sur l'événement : Conseil d'Administration du 25/06/2020
10h 12h30 et dans la planification ( que vous trouverez en PJ ) l'heure n'est pas bonne.

Une autre utilisatrice nous a remonté également que le lien de participation ne fonctionne plus depuis a minima 12h30 sur l'événement : 2020.07.16 CE Fabien THOLLOT.
Cette même personne nous a remonté également que La participation n'est pas prise en compte dans l'évènement SIGMA mais je n'ai pas pu le vérifier.

N'hésitez pas à revenir vers moi pour toute précision.",4
0019398,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,urgente,mineur,n'a pas essayé,accepté,résolu,Support,2020-07-21,2020-08-12,public,Passerelle Sigma = Sage / Plvts bloqué,"Heelooooo, nous avons reçu cette demande concernant SIGMA/SAGE :

""Les mensualités du lauréat Edouard FORNAS (813FORNE) ne basculent pas de Sigma vers Sage.

La mensualité reste dans les paiements à recevoir.

Le problème date de de début 2020.""",4.5
0019206,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,aléatoire,accepté,résolu,Support,2020-06-03,2020-08-31,public,Projet : Génération Décision de CE Lettre de Notification Favorable,"Bonjour,

   Une personne nous a remonté un soucis aléatoire qui ne s'applique pas à tous les projets.
Lorsque nous sommes sur la fiche projet, nous cliquons sur Modèle word puis :

02_Décision de CE - Lettre de Notification Favorable.

Le fichier généré est vierge.

Par exemple : Projet JBM Distribution.

Merci pour votre retour.

Cordialement,

François LEMOINE

",2
0018977,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-25,2020-08-31,public,Dimension des images d'entête dans les événements (0001231),"Bonjour,
Je constate que lorsque l'on change les dimensions des images d'entête cela ne change rien au format du mail envoyé.
Ci-après les éléments vers mon événement :
Les clés du Directeur Performant, les 18 et 19 septembre 2019 à Paris
<https://reseauentreprendre.crm4.dynamics.com/main.aspx?etc=10075&extraqs=formid%3d0856bc39-de1e-4bc7-acf5-5361164ad0a5&id=%7bB56ED5F6-64A8-E911-A84D-000D3AB24CAC%7d&pagetype=entityrecord
Il s'agit bien d'un événement DIFFERENT de celui pour lequel je vous ai signalé le message d'erreur lors de l’insertion de l'image de pied de page même si il porte le même nom.
En PJ vous prouverez les copies d'écran en 100% et en 25%
Merci beaucoup",1
